# package	version	Installed-Size(KiB)	Size(bytes)	source	Filename-URL
libxcomposite1	0.4.6+ios1	92	5150	maxleiter	https://repo.maxleiter.com/debs/libxcomposite1_0.4.6+ios1_iphoneos-arm64.deb
libxcursor1	1.2.0+ios1	112	17630	maxleiter	https://repo.maxleiter.com/debs/libxcursor1_1.2.0+ios1_iphoneos-arm64.deb
libxdamage1	1.1.5+ios1	64	5014	maxleiter	https://repo.maxleiter.com/debs/libxdamage1_1.1.5+ios1_iphoneos-arm64.deb
libxdmcp6	1.1.3+ios1	60	9868	maxleiter	https://repo.maxleiter.com/debs/libxdmcp6_1.1.3+ios1_iphoneos-arm64.deb
libxext6	1.3.4-1+ios1	128	26544	maxleiter	https://repo.maxleiter.com/debs/libxext6_1.3.4-1+ios1_iphoneos-arm64.deb
libxfixes3	6.0.1+ios1	112	8646	maxleiter	https://repo.maxleiter.com/debs/libxfixes3_6.0.1+ios1_iphoneos-arm64.deb
libxi6	1.7.10	112	22264	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libxi/libxi6_1.7.10_iphoneos-arm64.deb
libxinerama1	1.1.4+ios1	108	5400	maxleiter	https://repo.maxleiter.com/debs/libxinerama1_1.1.4+ios1_iphoneos-arm64.deb
libxkbcommon0	1.7.0+ios2	444	140048	maxleiter	https://repo.maxleiter.com/debs/libxkbcommon0_1.7.0+ios2_iphoneos-arm64.deb
libxml2	2.13.8+ios2	1160	544650	maxleiter	https://repo.maxleiter.com/debs/libxml2_2.13.8+ios2_iphoneos-arm64.deb
libxmlb2	0.3.14+ios1	256	74886	maxleiter	https://repo.maxleiter.com/debs/libxmlb2_0.3.14+ios1_iphoneos-arm64.deb
libxrandr2	1.5.2	96	13298	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libxrandr/libxrandr2_1.5.2_iphoneos-arm64.deb
libxrender1	0.9.10	100	14218	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/libxrender/libxrender1_0.9.10_iphoneos-arm64.deb
libyaml-0-2	0.2.5+ios1	156	44374	maxleiter	https://repo.maxleiter.com/debs/libyaml-0-2_0.2.5+ios1_iphoneos-arm64.deb
libz1	1.3.1+ios1	160	56284	maxleiter	https://repo.maxleiter.com/debs/libz1_1.3.1+ios1_iphoneos-arm64.deb
libzstd1	1.5.5	668	251554	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/zstd/libzstd1_1.5.5_iphoneos-arm64.deb
mesa-demos	8.4.0+xios1	4200	1139988	maxleiter	https://repo.maxleiter.com/debs/mesa-demos_8.4.0+xios1_iphoneos-arm64.deb
ncurses-term	6.4	7452	548262	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/ncurses/ncurses-term_6.4_all.deb
pkg-config	0.29.2-3	148	41946	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/pkg-config/pkg-config_0.29.2-3_iphoneos-arm64.deb
profile.d	0-7	12	1126	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/profile.d/profile.d_0-7_iphoneos-arm64.deb
sed	4.9	256	113274	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/sed/sed_4.9_iphoneos-arm64.deb
system-cmds	979.100.8	3616	333802	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/system-cmds/system-cmds_979.100.8_iphoneos-arm64.deb
xios-fonts-noto	1.0.1	0	3417910	maxleiter	https://repo.maxleiter.com/debs/xios-fonts-noto_1.0.1_iphoneos-arm64.deb
xkeyboard-config	2.32+ios1	3920	514094	maxleiter	https://repo.maxleiter.com/debs/xkeyboard-config_2.32+ios1_all.deb
zsh	5.9	12052	2216142	procursus	https://apt.procurs.us/pool/main/iphoneos-arm64-rootless/1800/zsh/zsh_5.9_iphoneos-arm64.deb
